"Ranking,Name,ELO,PlayedGames"
"574,JFK,81.3,106"
"575,[Austria]hiho,81.3,48"
"576,[CYB]PurpleRain,81.2,43"
"577,Skynet,81.1,203"
"578,Savoto,81.1,128"
"579,[ru]BiggerΝigger,81.0,29"
"580,Player145,81.0,114"
"581,Yesman,80.9,96"
"582,vopin,80.9,63"
"583,[RU]Сummie,80.9,90"
"584,Player1,80.7,489"
"585,[Ru]Adielitoxd,80.7,436"
"586,[WET]ShemaleCock,80.6,992"
"587,Knocks(mob),80.5,732"
"588,sia,80.3,747"
"589,XPPPPPPP[pl],80.2,99"
"590,[PL]Pat,80.2,29"
"591,Player748,80.1,389"
"592,Zeta,80.0,78"
"593,[PL]Imp.PøznåńskïĖ,80.0,110"
"594,megapint237,79.9,88"
"595,uwantaid?,79.9,388"
"596,FernãodeMagalhães,79.9,38"
"597,[ELITE]Up_zAr,79.9,53"
"598,DNscoons,79.8,83"
"599,[ru]dsc.gg/ruclan,79.8,40"
"600,CasinoMonte-Carlo,79.5,189"
"601,[PLUTO]azasi,79.5,265"
"602,Bbb,79.4,507"
"603,[SPQR]Aleksandria,79.4,112"
"604,USA,79.3,139"
"605,Player8,79.3,74"
"606,[W],79.2,159"
"607,KaBuSs,79.2,134"
"608,Territoryx,79.2,560"
"609,EndAffirmativeAction,79.2,84"
"610,[ARCH]limehill1v1,79.2,90"
"611,[Corgi]Pufedorf,79.1,222"
"612,[wrath]Macedonia,79.0,223"
"613,MessiahIsrael,78.8,3326"
"614,Israël=fasciste,78.8,258"
"615,1976,78.7,60"
"616,Player1[CORGI],78.7,57"
"617,SavetheBots(o.o),78.7,235"
"618,Ancapistan,78.5,301"
"619,ArizonaRepublic,78.5,1174"
"620,Player649,78.5,111"
"621,[PL]FastK1LL,78.5,29"
"622,Lulu,78.4,411"
"623,Lulu,78.1,102"
"624,[RU]ariosto,78.0,196"
"625,Obi1,78.0,42"
"626,[Pl]ayer523,78.0,521"
"627,megapint6,77.7,80"
"628,Crixus[azasi],77.7,48"
"629,K11,77.6,114"
"630,sweet,77.5,334"
"631,thedemon,77.4,49"
"632,[MIK]TectonicOrder,77.4,38"
"633,Metin,77.4,58"
"634,[TURAN]TurkicEmpire,77.3,1094"
"635,[CORGI]Elliot123,77.3,29"
"636,******,77.2,112"
"637,TheGreatForest,77.2,72"
"638,[vbsla]jtdrg,77.1,538"
"639,leylannanasıngotsk,76.9,30"
"640,117,76.9,181"
"641,5.26mm,76.7,33"
"642,[PL]120,76.6,226"
"643,GrekMaR,76.6,45"
"644,DestroyHouthi,76.5,92"
"645,Adamorc,76.4,167"
"646,[HK]so,76.3,60"
"647,[Corgi]Paddfoot,76.3,148"
"648,[:Tomonek:],76.2,181"
"649,[alb]KilAllDaJuice,76.1,51"
"650,[Wire]ΛlιvΣ,76.0,63"
"651,test,75.8,190"
"652,betray=fullsend,75.8,31"
"653,St3lthy,75.8,30"
"654,Player545,75.7,83"
"655,okj,75.6,79"
"656,leyla,75.6,36"
"657,Durkadurkastan,75.4,157"
"658,Arlong,75.3,375"
"659,<={====>,75.3,52"
"660,Player782,75.2,124"
"661,lol,75.2,185"
"662,Metatron,75.2,43"
"663,Sun,75.1,69"
"664,mummy,75.1,46"
"665,iluvham,75.0,670"
"666,Player992,75.0,238"
"667,[Corgi]Loffafm,74.9,214"
"668,[esp]a,74.8,146"
"669,[f]LittleEmoGirl,74.7,107"
"670,[123]kuro,74.6,32"
"671,[IDHU]Gernsheim,74.6,180"
"672,[OG]xxCVNLxx,74.6,55"
"673,[Plomba]Plomba,74.6,43"
"674,[STEAM]Vaporlair,74.6,53"
"675,Player2,74.5,67"
"676,darmokandjalad,74.5,168"
"677,[TR]mobileplayer,74.4,80"
"678,A.IGen.534,74.3,153"
"679,[DVK],74.3,109"
"680,CookieMonster,74.3,50"
"681,ShadowCavani,74.2,45"
"682,[OG]Donatetome,74.1,125"
"683,[UA]Ukraine,74.1,193"
"684,[RU]Rodina,74.1,171"
"685,midasf,73.9,156"
"686,[ind]RazoR,73.9,127"
"687,Nuggets,73.9,80"
"688,Xily,73.9,78"
"689,Giveitawaynow,73.9,109"
"690,Hisisters[OG],73.8,134"
"691,[GO[Goodflat,73.8,853"
"692,Fungus,73.7,563"
"693,Napo:],73.7,101"
"694,[PAX]Normandy,73.6,70"
